Instance_Size,Algorithm,Fitness,Time
50,GA,0.6056191467221644,2.642770767211914
50,GA,0.6904266389177938,2.626192331314087
50,GA,0.7114197530864197,2.681752920150757
50,GA,0.8210463733650415,2.2764904499053955
50,GA,0.8204994797086367,2.3023390769958496
50,GA,0.48872041420118345,3.2547075748443604
100,GA,0.46254458977407853,3.79597806930542
100,GA,0.40453333333333336,4.9360456466674805
100,GA,0.3941678238444752,4.927309989929199
100,GA,0.44416099773242634,5.606674909591675
100,GA,0.4461505190311419,4.570080757141113
100,GA,0.40639381985535833,4.629353046417236
600,GA,0.13329406497262225,26.510458946228027
600,GA,0.10996274380889764,27.385809659957886
600,GA,0.11149307127408078,28.117576599121094
600,GA,0.09487057170208445,27.507144689559937
600,GA,0.13933709934146873,29.195996522903442
600,GA,0.10248716631760467,28.963677406311035
1000,GA,0.08090206176953232,46.926045417785645
1000,GA,0.06362536952432143,45.925615072250366
1000,GA,0.06330219346032734,48.33096146583557
1000,GA,0.044784574179001724,50.254104137420654
1000,GA,0.06372402808842499,51.47396183013916
1000,GA,0.059344107398587434,49.50860357284546
1500,GA,0.0431012644539383,101.71505737304688
1500,GA,0.03783144475252754,97.80184030532837
1500,GA,0.035958191708123685,92.33485531806946
1500,GA,0.039657863145258106,99.42008447647095
1500,GA,0.04363883308926509,94.74039626121521
1500,GA,0.04650594224969393,89.56139874458313
